ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11973436,JD142016,02/04/2020 06:00:00 AM,069XX S PAXTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0331,003,5,43,08B,1192078,1859351,2020,02/11/2020 03:50:36 PM,41.769044383,-87.571484631,"(41.769044383, -87.571484631)"
11941107,JD103595,01/03/2020 10:40:00 PM,047XX S WOOD ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,0931,009,15,61,18,1165149,1873165,2020,01/10/2020 03:56:10 PM,41.80756389,-87.669802392,"(41.80756389, -87.669802392)"
11952835,JD117343,01/16/2020 12:30:00 AM,003XX S SACRAMENTO BLVD,0460,BATTERY,SIMPLE,GAS STATION,false,false,1124,011,28,27,08B,1156434,1898301,2020,01/23/2020 03:56:09 PM,41.876720197,-87.701088107,"(41.876720197, -87.701088107)"
11966829,JD133798,01/28/2020 11:00:00 AM,013XX S SACRAMENTO DR,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,"SCHOOL, PUBLIC, BUILDING",false,false,1022,010,24,29,17,1156172,1893743,2020,02/04/2020 03:58:33 PM,41.864217865,-87.702173146,"(41.864217865, -87.702173146)"
12109667,JD301798,07/18/2020 02:40:00 PM,025XX W CORTEZ ST,0460,BATTERY,SIMPLE,ALLEY,false,false,1211,012,1,24,08B,1159290,1906899,2020,07/25/2020 03:53:38 PM,41.900255662,-87.690365198,"(41.900255662, -87.690365198)"
12036228,JD215772,04/24/2020 12:05:00 AM,025XX E 79TH ST,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,false,false,0421,004,7,43,05,1194335,1853075,2020,05/01/2020 03:49:55 PM,41.751767411,-87.563417608,"(41.751767411, -87.563417608)"
12022879,JD200952,02/25/2020 08:00:00 AM,007XX W GORDON TER,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1915,019,46,3,11,1170623,1927985,2020,04/05/2020 03:44:52 PM,41.957875995,-87.648119936,"(41.957875995, -87.648119936)"
11980123,JD150348,02/13/2020 01:15:00 AM,067XX N SHERIDAN RD,0820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,false,false,2432,024,49,1,06,1167032,1944822,2020,02/20/2020 03:49:49 PM,42.00415523,-87.660835633,"(42.00415523, -87.660835633)"
12100534,JD290697,07/08/2020 11:00:00 AM,007XX E 50TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0223,002,4,38,05,1181978,1872021,2020,07/15/2020 03:52:10 PM,41.804051544,-87.608114203,"(41.804051544, -87.608114203)"
12106124,JD297607,07/14/2020 08:20:00 PM,025XX W FITCH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2411,024,50,2,08B,1158048,1947356,2020,07/21/2020 03:50:19 PM,42.011297491,-87.693818187,"(42.011297491, -87.693818187)"
12091628,JD280182,06/28/2020 10:00:00 AM,007XX E 111TH ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,0513,005,9,50,06,1183516,1831508,2020,07/05/2020 03:49:06 PM,41.692843844,-87.603733511,"(41.692843844, -87.603733511)"
12082253,JD268855,06/19/2020 08:42:00 AM,078XX S EXCHANGE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0421,004,7,43,08B,1196793,1853766,2020,06/26/2020 03:56:22 PM,41.753602854,-87.554387446,"(41.753602854, -87.554387446)"
12008342,JD184898,03/12/2020 11:30:00 PM,019XX W WELLINGTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1931,019,32,5,07,1162967,1919935,2020,03/19/2020 03:46:09 PM,41.935950904,-87.676492725,"(41.935950904, -87.676492725)"
11944369,JD107130,01/06/2020 08:30:00 PM,065XX S HONORE ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0726,007,15,67,06,1165138,1861306,2020,01/13/2020 03:59:28 PM,41.775021555,-87.670178246,"(41.775021555, -87.670178246)"
11955910,JD121025,01/19/2020 08:00:00 AM,001XX W ADAMS ST,0560,ASSAULT,SIMPLE,OTHER,false,false,0122,001,42,32,08A,1175337,1899427,2020,01/26/2020 03:52:59 PM,41.879406934,-87.631648849,"(41.879406934, -87.631648849)"
12067194,JD251795,06/02/2020 11:28:00 PM,084XX S MARQUETTE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0423,004,7,46,15,1195630,1849490,2020,06/09/2020 03:49:44 PM,41.741897992,-87.558790387,"(41.741897992, -87.558790387)"
11955053,JD120071,01/17/2020 03:00:00 PM,041XX W WABANSIA AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2534,025,26,23,14,1148706,1910982,2020,01/24/2020 03:52:11 PM,41.911670916,-87.729135238,"(41.911670916, -87.729135238)"
12051779,JD233662,05/16/2020 12:28:00 AM,086XX S HERMITAGE AVE,0460,BATTERY,SIMPLE,SIDEWALK,true,false,0614,006,21,71,08B,1166183,1847417,2020,05/23/2020 03:46:52 PM,41.73688603,-87.666741917,"(41.73688603, -87.666741917)"
11946257,JD109336,01/09/2020 04:00:00 AM,004XX N HARDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1122,011,37,23,14,1149979,1902686,2020,01/16/2020 03:49:10 PM,41.888881152,-87.724674821,"(41.888881152, -87.724674821)"
12103112,JD294040,07/11/2020 12:30:00 AM,016XX W 18TH ST,2870,PUBLIC PEACE VIOLATION,PEEPING TOM,APARTMENT,false,false,1234,012,25,31,24,1165597,1891465,2020,07/18/2020 03:54:34 PM,41.857771474,-87.667639114,"(41.857771474, -87.667639114)"
11965715,JD132713,01/25/2020 03:00:00 PM,110XX S HOYNE AVE,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,LIBRARY,false,false,2212,022,19,75,26,1164261,1831203,2020,02/01/2020 03:50:49 PM,41.692432806,-87.674238284,"(41.692432806, -87.674238284)"
12115514,JD308738,07/24/2020 07:00:00 PM,100XX S STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,0511,005,9,49,11,1178025,1838563,2020,07/31/2020 03:48:20 PM,41.712329623,-87.623624095,"(41.712329623, -87.623624095)"
12035079,JD214557,04/21/2020 05:00:00 PM,003XX W 116TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0522,005,34,53,06,1176179,1828007,2020,04/28/2020 03:47:50 PM,41.68340397,-87.630700035,"(41.68340397, -87.630700035)"
12077222,JD263265,02/14/2020 12:01:00 AM,0000X N LOCKWOOD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,1522,015,28,25,26,1141049,1899846,2020,06/17/2020 03:54:43 PM,41.881256974,-87.757539592,"(41.881256974, -87.757539592)"
12067012,JD249951,05/30/2020 07:20:00 PM,0000X W HUBBARD ST,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,false,false,1831,018,42,8,14,1175704,1903302,2020,06/06/2020 03:50:25 PM,41.890031912,-87.630184715,"(41.890031912, -87.630184715)"
12083374,JD270135,06/20/2020 08:00:00 AM,055XX W 63RD PL,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0813,008,13,64,14,1140627,1861920,2020,06/27/2020 03:46:39 PM,41.777190011,-87.760018557,"(41.777190011, -87.760018557)"
11972678,JD140959,02/05/2020 01:07:00 PM,093XX S DR MARTIN LUTHER KING JR DR,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,false,true,0633,006,9,49,26,1180556,1843111,2020,02/12/2020 03:48:07 PM,41.724752291,-87.614215774,"(41.724752291, -87.614215774)"
11953119,JD112999,01/12/2020 11:45:00 AM,054XX W WALTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1524,015,37,25,08B,1139785,1905799,2020,01/19/2020 03:49:20 PM,41.897615925,-87.762035464,"(41.897615925, -87.762035464)"
11961022,JD127009,01/24/2020 10:30:00 AM,075XX S PEORIA ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0621,006,17,71,06,1171611,1854876,2020,01/31/2020 03:51:33 PM,41.757237422,-87.646637323,"(41.757237422, -87.646637323)"
12095113,JD284327,07/03/2020 09:55:00 AM,105XX S SAWYER AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - YARD (FRONT / BACK),true,false,2211,022,19,74,26,1156550,1834393,2020,07/10/2020 03:52:34 PM,41.701345205,-87.702384217,"(41.701345205, -87.702384217)"
12008949,JD185559,03/07/2020 08:00:00 AM,090XX S CARPENTER ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,false,false,2222,022,21,73,11,1170904,1844830,2020,03/18/2020 03:52:17 PM,41.729685295,-87.649520934,"(41.729685295, -87.649520934)"
25143,JD248956,05/31/2020 03:54:00 PM,045XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0924,009,15,61,01A,1166437,1874521,2020,06/20/2020 03:48:45 PM,41.811257522,-87.665039689,"(41.811257522, -87.665039689)"
12098930,JD289008,07/07/2020 08:50:00 AM,071XX S VINCENNES AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,false,false,0731,007,6,69,07,1176672,1857852,2020,07/14/2020 03:49:25 PM,41.765291553,-87.628000182,"(41.765291553, -87.628000182)"
12014765,JD192160,03/21/2020 03:54:00 PM,001XX W 95TH ST,0560,ASSAULT,SIMPLE,CONVENIENCE STORE,false,false,0634,006,21,49,08A,1177201,1841967,2020,03/28/2020 03:49:09 PM,41.721689256,-87.626539467,"(41.721689256, -87.626539467)"
12040577,JD220710,04/30/2020 02:18:00 PM,106XX S BENSLEY AVE,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,SIDEWALK,false,false,0434,004,10,51,04A,1194549,1835055,2020,05/07/2020 03:47:25 PM,41.702313641,-87.563224189,"(41.702313641, -87.563224189)"
12019070,JD196723,03/27/2020 06:00:00 PM,039XX W 26TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),false,false,1013,010,22,30,14,1150579,1886435,2020,04/03/2020 03:49:33 PM,41.844274821,-87.72289575,"(41.844274821, -87.72289575)"
11981471,JD152159,02/14/2020 08:20:00 PM,061XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0712,007,16,68,08B,1170365,1864100,2020,02/21/2020 03:51:11 PM,41.782576421,-87.650935508,"(41.782576421, -87.650935508)"
12052301,JD234249,04/22/2020 10:30:00 PM,052XX S PARKSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0811,008,14,56,08B,1139581,1869330,2020,05/20/2020 03:50:34 PM,41.797543416,-87.763673269,"(41.797543416, -87.763673269)"
